negative,i didn't see the little heaanymore i got sad :(
negative,bad day at work :(
negative,i'm missing loads primarily because of itv not supporting chromecast :( :(
negative,unfortunately ours is hanging from the ceiling so it can't go far to catch 'em all :(
negative,that makes us really sad ! why not move the other two devices over to the uncarrier ? you know you love us ! kime
negative,i do not like to hear this :(
negative,watching h x factor :(
negative,sorry
negative,when squirtle breaks free from the poke ball on the third bounce then runs away
negative,i am old :(
negative,you should figure it out soon as ticket prices will increase from $ to $ on the th
negative,oh no :(
negative,i meant taller than i am :(
negative,oh god hadn't thought of that :(
negative,”getting ready to leave japan im so sad one day wasnt enough :(“
negative,aw i wish i could draw that good :(
negative,hi i placed order days ago given delivery dates by your h o staff promised no later than today now told its out of stock :(
negative,thank u u need to come out soon :( xx
negative,let me love you no shade
negative,chingao :(
negative,someone make plans w me :(
negative,currently craving ramen noodles
negative,i know :( so lets get to know each other better :) what gender are you ?
negative,nope :(
negative,and she's gone :(
negative,the amount of clothing i bought the first two months of college that doesnt fit now smh
negative,all so peng :(
negative,i genuinely thought it was them i even spoke back to everything they said
negative,i've been featured lots of times and not once have you said anything
negative,turned on my old iphone and found all the pictures i thought were gone forever :(
negative,someone make plans with mee :(
negative,file corrupted what the fuckk re recording now
negative,that's too bad :(
negative,duke nukem lol i dont play :(
negative,i dont feel well :(
negative,i knoww but hopefully it'll go a stretch !
negative,i miss my bf :(
negative,shh no tears only dreams now :(
negative,stb is only going to b released in september here and i want to avoid spoilers
negative,on an unrelated topic vastly looking forward to the productions of yourself hamster and clarkson i miss real top gear
negative,i miss them
negative,no i found them a week before i found you and your video my comic store had to order the trades for me excited !
negative,i have this pokemon thing but i don't want to move
negative,what car have you got ? ugly scratch too
negative,guys wyd it was continue w dalt tjis is unfair
negative,i want french toast :(
negative,why do people screenshot snapchats ? ! why
negative,hehe you wont guess who this is i bet you but i miss you
negative,i'm actually crying like i can't get it till i get my new phone hopefully soon ! is it really addicting ?
negative,i was expecting a batting collapse of pakistan :( didnt happen :(
negative,yess completely depends on the spot where do you think is the best place for it ?
negative,my back is killing me :(
negative,i have a busy october :(
negative,those white dots arent snow :(
negative,i just feel like i've disappointed people but i can't help it i just feel this way
negative,why is my head so big :(
negative,i wanna go on a krispy kreme run :(
negative,my dm's :(
negative,my pok xeballs are working properly
negative,that wasn't bobby ! that was an erratic white boy fan :(
negative,they've landed and now i can sleep in peace hope nothing happens when i'm asleep :(
negative,twitter's just been making me really sad lately idk if it's worth it
negative,i want ice cream :(
negative,i didn't i have a nidoran male though so i will just evolve that bitch
negative,hungry :(
negative,took a nap and had a dream that i was chosen an ambassador
negative,please put champions back :(
negative,yeah :(
negative,i just died i wish i had a panic button boyfriend
negative,but i'm not in the mood to get arrested for stealing a car
negative,goddamnit ! ! this sucks; i really don't want to watch this :(
negative,ughh i love u g :(
negative,yes you are >:(
negative,it doesn't work on my android phone either
negative,holds your hand :(
negative,oh no ! :( i'm so sorry !
negative,progress :(
negative,i wore white pants and rode my bike to work
negative,so sad
negative,i wanna be on the beach :(
negative,need :(
negative,currently craving ramen noodles
negative,well gotta wait till my birthday then since im
negative,promise us when you get older please don't forget about us goonies :(
negative,tigers jaw is coming to california in september ((
negative,don't have any :(
negative,oh no mac :(
negative,s e brooke always checking up on her to make sure she's okay
negative,and some things i find but couldn't get bc they don't send to germany (especially on ebay us that's alwayd disappointing
negative,oh no :(
negative,i have nothing i have jeans tshirts and some skirts and dresses that dont fit
negative,lilly is so close to me :(
negative,you forgot me :(
negative,i miss both of u :(
negative,"genuinely hate how bc i act confident around boys i get treated like i don't have feelings :(“
negativei wanna go :( 
negative the amount of clothing i bought the first two months of college that doesnt fit now smh
negativeyash :( 
negative sorry spodersteve :(
negative you should have given them to me 
negative i'm sorry i can't be there please tweet lots of lovely stuff so i can feel like i am 
negativebesides lookin like flo on the gieco commercial :(afloweraoilpainting artforsale 
negative ciaran"
negative,can't get over how shomy hair is :(
negative,that no good :(
negative,i wanna meet seb :(
negative,pulled off to stop by the ice balls canear the aviary then realized we had no cash ! we'll have to go back !
negative,i need more friends to play with on dark souls ii :(
negative,imagine my situation :( same number for years n sumn change
negative,i just ate sorry :(
negative,the worst paabout ending a relationship friendship is the snapchat streak
negative,i am sorry because of yesterday
negative,on this day last year i was at the happiest place on earth sendmebacktodisney
negative,i miss you andd tit :(
negative,this so sad :(
negative,he said he didnt know jeremy had the ring on at least you tried to justify his actions
negative,naturally i have to walk and be somewhere in midtown in the next minutes
negative,eww its nationalhotdogday :(
negative,ally brooke hates me bc she never will follow me
negative,i miss you so much :(
negative,thought was doing ok until i saw this homeopathy
negative,where is everyone ? ( veranomtv seconds of summer
negative,i miss both of u :(
negative,oppa rude style :(
negative,i have a very positive attitude towards this game however many dislike my nickname: huntybitchboo
negative,so some radio stations claiming make me (ooh is coming at midnight yet britney and her team never confirmed anything about the song
negative,i cried a lot ! ! it just too sad i couldn't control my emotions
negative,:( i wanna watch movies w oomf :(
negative,why i accepted the roses but ignored the thorns real tears man mustwatch
negative,there's one person i wish i could talk to right now
negative,poor matt :(
negative,no one believes me when i tell em larry hernandez is my cousin :(
negative,oh well the armor is still looking really cool lets see if the shading makes it even better
negative,it's honestly the best book i've read in ages and i'm only halfwayi don't want it to end
negative,i didn't hear it :(
negative,i wish i didn't work so much so i would have time to hang out w my friends
negative,when you have the best idea for a date but you don't have a boo you don't like nobody ((
negative,stay strong sweet girl ! hopefully your daddy's death can help our nation change for the better sorry you had to lose him
negative,i wish i could watch it but i don't have wifi
negative,shooting of unarmed kids
negative,for the last days they've gone around us
negative,i cracked my phone :(
negative,only have days before he leaves me again :(
negative,:( feel better soon x
negative,jk idk dis a hard one :(
negative,really wish i was going to toby keith tomorrow
negative,get away from my snowball :(
negative,why can't rebecka forsberg just sit on my face :(
negative,gonna miss this
negative,ok i rlly don't wanna work today :(
negative,or like just throw a pokeball at it seems to be a in chance of locking up atm in the uk
negative,i need a running buddy :(
